Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
Humanities,Junior,2.782,7.65,Copywriting/Drafting,Beginner,2,False,4.96,2,Allowed_With_Citation,4,3.014,65.74,Low
Arts,Graduate,3.154,8.8,Copywriting/Drafting,Intermediate,1,True,8.68,5,Allowed_With_Citation,7,3.453,71.91,Low
Medical,Senior,2.807,0.63,Debugging/Troubleshooting,Intermediate,3,True,4.86,1,Allowed_With_Citation,6,2.963,100.0,Low
STEM,Junior,2.599,2.24,Debugging/Troubleshooting,Beginner,3,True,13.45,2,Actively_Encouraged,2,2.954,80.31,Medium
Humanities,Senior,2.738,5.2,Copywriting/Drafting,Intermediate,2,False,12.49,3,Strict_Ban,7,3.111,71.97,Low
Humanities,Sophomore,3.386,10.44,Ideation,Intermediate,3,False,12.84,3,Allowed_With_Citation,5,3.726,83.25,Medium
STEM,Graduate,3.649,0.45,Debugging/Troubleshooting,Beginner,3,False,13.8,3,Actively_Encouraged,5,3.889,79.57,Low
Arts,Freshman,3.276,2.3,Summarizing_Reading,Advanced,4,True,7.35,2,Actively_Encouraged,2,3.065,91.49,Low
Arts,Freshman,3.523,2.79,Direct_Answer_Generation,Intermediate,4,False,21.13,4,Allowed_With_Citation,4,3.561,55.31,Low
Humanities,Sophomore,3.018,8.21,Copywriting/Drafting,Beginner,3,False,10.73,3,Strict_Ban,4,3.292,67.9,Low
Business,Freshman,2.874,10.47,Direct_Answer_Generation,Intermediate,2,False,15.58,5,Actively_Encouraged,7,3.211,82.29,Medium
STEM,Junior,3.337,0.75,Summarizing_Reading,Intermediate,2,True,9.96,2,Allowed_With_Citation,5,3.335,90.12,Medium
Business,Freshman,3.675,37.74,Debugging/Troubleshooting,Advanced,3,True,3.56,8,Allowed_With_Citation,7,3.995,91.14,Medium
Arts,Junior,2.544,3.98,Direct_Answer_Generation,Advanced,3,True,11.7,3,Actively_Encouraged,4,2.644,67.25,Medium
Business,Sophomore,3.139,22.09,Direct_Answer_Generation,Intermediate,3,True,1.0,9,Actively_Encouraged,6,2.483,77.83,Medium
STEM,Freshman,3.428,0.09,Ideation,Advanced,3,False,18.98,3,Allowed_With_Citation,3,3.417,82.67,Low
Business,Junior,2.962,4.33,Ideation,Advanced,3,False,10.77,1,Actively_Encouraged,3,3.173,74.7,Low
Humanities,Graduate,3.405,1.95,Ideation,Beginner,3,True,15.07,2,Strict_Ban,5,3.484,66.86,Medium
Business,Senior,3.617,1.9,Copywriting/Drafting,Advanced,4,False,7.93,4,Actively_Encouraged,4,3.784,86.97,High
Humanities,Freshman,3.723,0.35,Direct_Answer_Generation,Intermediate,2,False,12.28,4,Allowed_With_Citation,5,3.908,49.45,Medium
Humanities,Junior,3.839,5.57,Copywriting/Drafting,Intermediate,2,False,10.11,4,Strict_Ban,5,3.862,93.34,Low
Business,Graduate,2.73,6.33,Debugging/Troubleshooting,Advanced,3,False,4.77,2,Actively_Encouraged,3,3.041,94.77,Medium
Medical,Junior,3.16,0.52,Summarizing_Reading,Intermediate,4,True,4.32,3,Allowed_With_Citation,5,3.326,78.98,Low
STEM,Junior,3.847,24.76,Ideation,Intermediate,5,False,17.99,5,Allowed_With_Citation,4,4.0,75.62,Low
Medical,Graduate,3.329,14.06,Debugging/Troubleshooting,Beginner,2,True,1.0,4,Allowed_With_Citation,1,3.462,70.8,High
Business,Freshman,3.414,1.36,Debugging/Troubleshooting,Advanced,3,False,5.95,2,Allowed_With_Citation,1,3.404,73.23,Medium
Business,Senior,3.432,3.45,Ideation,Beginner,2,False,5.77,1,Strict_Ban,5,3.885,75.77,Medium
Arts,Sophomore,2.496,8.02,Summarizing_Reading,Intermediate,4,False,8.89,1,Actively_Encouraged,1,2.675,77.85,Medium
Humanities,Graduate,3.484,8.51,Debugging/Troubleshooting,Beginner,3,True,15.75,6,Allowed_With_Citation,4,3.84,62.49,Medium
Arts,Freshman,3.077,32.77,Ideation,Beginner,2,False,16.79,9,Allowed_With_Citation,4,3.641,61.69,High
STEM,Graduate,3.618,5.66,Debugging/Troubleshooting,Intermediate,2,False,8.7,4,Actively_Encouraged,4,3.944,96.49,Low
STEM,Senior,3.123,14.99,Direct_Answer_Generation,Intermediate,4,True,11.47,5,Actively_Encouraged,4,3.766,71.0,High
Business,Sophomore,3.32,2.73,Copywriting/Drafting,Intermediate,2,False,13.76,1,Allowed_With_Citation,1,3.516,77.41,Low
Medical,Senior,3.676,4.4,Ideation,Intermediate,3,True,23.39,3,Allowed_With_Citation,4,4.0,69.52,Low
Medical,Graduate,3.712,2.49,Debugging/Troubleshooting,Advanced,3,True,5.83,1,Allowed_With_Citation,3,3.723,86.97,Medium
Business,Freshman,3.549,40.0,Ideation,Beginner,1,True,4.81,9,Allowed_With_Citation,4,3.68,51.95,High
Business,Graduate,3.306,3.26,Ideation,Intermediate,2,True,6.75,4,Allowed_With_Citation,6,3.332,82.84,Low
Humanities,Sophomore,3.429,33.5,Copywriting/Drafting,Beginner,3,True,17.53,5,Strict_Ban,9,3.49,48.61,High
Medical,Freshman,2.699,7.72,Debugging/Troubleshooting,Beginner,1,False,23.17,4,Strict_Ban,6,2.991,68.25,High
Humanities,Freshman,3.906,12.45,Ideation,Intermediate,2,True,12.12,5,Allowed_With_Citation,5,3.783,70.34,High
Business,Graduate,3.861,3.2,Direct_Answer_Generation,Beginner,2,False,6.08,3,Actively_Encouraged,2,4.0,75.4,Medium
Business,Graduate,2.834,9.45,Ideation,Intermediate,2,True,5.25,4,Strict_Ban,4,3.027,80.5,Low
Business,Graduate,3.219,0.53,Ideation,Intermediate,1,True,14.23,1,Allowed_With_Citation,4,3.386,80.19,Medium
Humanities,Junior,2.887,13.58,Debugging/Troubleshooting,Intermediate,4,False,4.54,5,Actively_Encouraged,4,3.14,80.06,Medium
Medical,Graduate,2.771,1.13,Ideation,Advanced,5,False,10.79,4,Allowed_With_Citation,6,3.018,98.82,Medium
Business,Sophomore,3.258,4.28,Ideation,Beginner,1,False,5.5,1,Allowed_With_Citation,5,3.338,62.71,Medium
Medical,Freshman,3.211,10.15,Copywriting/Drafting,Intermediate,3,False,13.51,3,Allowed_With_Citation,7,3.39,75.41,Low
STEM,Sophomore,2.975,3.13,Copywriting/Drafting,Advanced,5,True,13.53,4,Allowed_With_Citation,9,3.201,59.86,Medium
Business,Graduate,2.682,4.41,Direct_Answer_Generation,Beginner,1,False,7.68,2,Allowed_With_Citation,6,2.772,75.44,Medium
Business,Junior,2.654,0.75,Summarizing_Reading,Advanced,4,True,16.07,4,Strict_Ban,6,2.988,58.65,Medium
Business,Sophomore,2.175,0.79,Ideation,Intermediate,2,False,11.33,2,Actively_Encouraged,6,2.143,70.59,Medium
Medical,Junior,2.833,9.39,Summarizing_Reading,Beginner,2,True,8.03,3,Allowed_With_Citation,4,3.043,72.47,Medium
STEM,Junior,2.31,40.0,Copywriting/Drafting,Intermediate,3,True,13.95,7,Allowed_With_Citation,3,2.614,80.65,Medium
STEM,Freshman,2.675,17.06,Copywriting/Drafting,Advanced,3,False,11.74,6,Actively_Encouraged,5,2.932,84.41,High
Humanities,Freshman,3.903,8.73,Ideation,Beginner,1,False,13.86,1,Allowed_With_Citation,5,4.0,94.0,High
STEM,Freshman,3.323,23.7,Direct_Answer_Generation,Intermediate,3,False,11.16,4,Strict_Ban,6,3.093,80.53,Medium
Medical,Sophomore,2.794,3.73,Summarizing_Reading,Intermediate,2,True,15.89,1,Strict_Ban,4,2.984,88.24,Medium
STEM,Senior,3.194,9.73,Summarizing_Reading,Intermediate,3,True,3.84,5,Strict_Ban,6,3.318,64.17,Medium
Humanities,Freshman,2.791,1.77,Direct_Answer_Generation,Beginner,2,False,9.95,4,Strict_Ban,6,2.893,59.53,Medium
STEM,Junior,3.278,17.39,Debugging/Troubleshooting,Beginner,3,False,18.88,3,Actively_Encouraged,1,3.724,80.98,Medium
Business,Senior,2.939,15.31,Direct_Answer_Generation,Beginner,2,True,13.69,5,Allowed_With_Citation,1,3.019,47.08,High
Humanities,Junior,2.882,1.55,Copywriting/Drafting,Beginner,1,True,18.98,1,Allowed_With_Citation,4,3.135,71.91,Low
STEM,Freshman,2.786,23.47,Summarizing_Reading,Advanced,5,True,15.48,7,Actively_Encouraged,10,2.748,64.25,Medium
Humanities,Sophomore,3.316,2.97,Copywriting/Drafting,Advanced,5,False,8.59,3,Allowed_With_Citation,1,3.555,74.65,High
Humanities,Junior,2.879,8.98,Debugging/Troubleshooting,Intermediate,1,True,11.25,4,Strict_Ban,7,3.381,74.13,High
Medical,Sophomore,2.769,13.11,Summarizing_Reading,Advanced,3,False,15.59,2,Actively_Encouraged,5,3.001,87.95,Medium
STEM,Junior,3.186,4.13,Direct_Answer_Generation,Beginner,1,False,19.09,1,Actively_Encouraged,2,3.412,85.3,Medium
Business,Junior,3.97,1.95,Debugging/Troubleshooting,Beginner,2,False,17.4,3,Allowed_With_Citation,2,4.0,59.67,Low
Medical,Freshman,2.414,8.66,Summarizing_Reading,Advanced,5,False,6.06,3,Actively_Encouraged,4,2.526,59.54,Medium
Arts,Senior,3.767,3.98,Copywriting/Drafting,Advanced,3,False,13.0,3,Strict_Ban,1,3.81,81.5,Low
Medical,Freshman,2.186,3.01,Summarizing_Reading,Advanced,5,False,19.41,3,Allowed_With_Citation,8,2.617,100.0,Medium
Medical,Junior,2.092,1.26,Debugging/Troubleshooting,Beginner,2,False,13.13,4,Allowed_With_Citation,4,2.154,73.12,Low
Humanities,Senior,3.619,5.69,Ideation,Beginner,2,True,9.82,1,Actively_Encouraged,3,3.689,66.06,Medium
Business,Senior,3.592,5.52,Summarizing_Reading,Beginner,2,False,7.54,2,Allowed_With_Citation,6,3.95,61.9,Medium
STEM,Junior,2.019,5.53,Debugging/Troubleshooting,Beginner,2,True,23.25,6,Allowed_With_Citation,4,2.565,72.97,High
Humanities,Senior,3.225,9.15,Copywriting/Drafting,Beginner,3,False,5.05,3,Strict_Ban,1,3.259,71.35,High
Arts,Senior,2.167,0.47,Copywriting/Drafting,Intermediate,2,False,11.48,2,Actively_Encouraged,3,2.326,97.63,Medium
Business,Sophomore,3.391,4.66,Direct_Answer_Generation,Advanced,5,False,7.32,1,Actively_Encouraged,5,3.511,86.8,Medium
Business,Graduate,3.49,2.19,Copywriting/Drafting,Beginner,1,False,14.4,3,Strict_Ban,4,3.752,63.32,Low
Business,Freshman,3.614,8.76,Direct_Answer_Generation,Intermediate,4,True,14.25,2,Strict_Ban,6,3.607,88.87,Low
STEM,Sophomore,3.457,19.87,Copywriting/Drafting,Advanced,5,True,1.0,4,Allowed_With_Citation,5,3.435,82.52,High
Medical,Senior,3.022,14.93,Direct_Answer_Generation,Intermediate,3,False,9.03,5,Allowed_With_Citation,5,2.979,90.12,Low
Humanities,Graduate,3.618,0.33,Summarizing_Reading,Advanced,5,True,8.45,1,Allowed_With_Citation,3,3.477,69.27,Medium
STEM,Sophomore,3.767,7.22,Copywriting/Drafting,Intermediate,3,True,14.76,4,Allowed_With_Citation,5,4.0,82.42,Medium
Arts,Junior,2.572,4.28,Ideation,Intermediate,2,True,7.36,6,Actively_Encouraged,6,2.857,81.71,Low
Humanities,Freshman,3.472,1.72,Copywriting/Drafting,Beginner,2,False,7.49,4,Actively_Encouraged,5,3.612,86.99,Medium
Arts,Sophomore,3.794,1.61,Direct_Answer_Generation,Beginner,2,False,3.5,2,Allowed_With_Citation,5,3.777,60.93,Medium
Business,Sophomore,3.748,19.98,Debugging/Troubleshooting,Intermediate,3,False,12.67,7,Allowed_With_Citation,6,4.0,67.48,High
Humanities,Senior,3.707,5.29,Ideation,Beginner,2,True,12.89,1,Strict_Ban,1,3.936,58.72,Medium
Arts,Freshman,3.1,3.97,Copywriting/Drafting,Beginner,3,False,9.36,6,Actively_Encouraged,6,2.962,56.01,Medium
Business,Freshman,3.536,1.49,Debugging/Troubleshooting,Beginner,1,False,12.79,1,Allowed_With_Citation,2,3.483,73.63,Low
Humanities,Junior,2.44,2.62,Ideation,Intermediate,4,False,14.26,2,Actively_Encouraged,5,2.545,47.85,Medium
STEM,Sophomore,3.421,14.7,Summarizing_Reading,Intermediate,4,False,17.3,4,Strict_Ban,7,3.732,64.5,High
Medical,Freshman,3.518,5.67,Summarizing_Reading,Advanced,3,True,17.56,5,Allowed_With_Citation,7,3.995,44.93,Low
STEM,Sophomore,3.347,7.87,Copywriting/Drafting,Beginner,1,True,20.25,2,Actively_Encouraged,4,3.341,70.07,Low
Arts,Graduate,3.441,6.8,Ideation,Advanced,3,False,1.62,5,Allowed_With_Citation,6,3.637,75.95,Medium
Humanities,Junior,2.354,9.69,Ideation,Intermediate,4,False,11.9,4,Actively_Encouraged,6,2.485,76.25,Low
Business,Freshman,3.832,9.12,Copywriting/Drafting,Intermediate,3,False,14.32,3,Actively_Encouraged,2,3.929,78.58,Low
Medical,Freshman,3.284,13.7,Summarizing_Reading,Intermediate,1,True,17.89,3,Allowed_With_Citation,5,3.628,73.39,Medium
STEM,Freshman,2.951,4.23,Summarizing_Reading,Intermediate,2,False,4.18,4,Allowed_With_Citation,5,2.76,62.57,High
Business,Sophomore,3.409,4.13,Summarizing_Reading,Beginner,3,False,28.33,4,Actively_Encouraged,4,3.828,78.87,Low
Arts,Graduate,2.741,8.58,Copywriting/Drafting,Intermediate,2,False,19.85,6,Allowed_With_Citation,5,3.167,66.6,Medium
Arts,Senior,3.664,4.09,Summarizing_Reading,Intermediate,1,False,15.22,2,Allowed_With_Citation,1,3.756,75.99,Medium
Business,Sophomore,2.996,0.86,Direct_Answer_Generation,Intermediate,4,False,3.3,3,Allowed_With_Citation,3,2.747,71.58,Medium
Business,Senior,3.506,2.97,Direct_Answer_Generation,Intermediate,2,False,12.15,1,Strict_Ban,6,3.592,84.0,Low
Arts,Senior,2.176,1.1,Debugging/Troubleshooting,Advanced,3,True,15.27,1,Allowed_With_Citation,1,2.798,79.65,Medium
Arts,Junior,3.79,2.36,Debugging/Troubleshooting,Beginner,1,True,15.75,1,Allowed_With_Citation,2,4.0,93.05,Low
Arts,Sophomore,3.392,1.43,Ideation,Intermediate,3,False,9.45,3,Actively_Encouraged,3,3.503,65.92,Medium
Humanities,Freshman,2.27,5.42,Debugging/Troubleshooting,Intermediate,5,False,7.73,4,Actively_Encouraged,1,2.281,72.66,Medium
Medical,Sophomore,3.585,8.8,Summarizing_Reading,Intermediate,2,True,13.21,2,Allowed_With_Citation,3,3.496,87.04,Medium
Humanities,Sophomore,3.041,6.65,Copywriting/Drafting,Beginner,2,False,8.59,3,Allowed_With_Citation,7,3.079,65.97,Medium
STEM,Senior,3.267,9.06,Debugging/Troubleshooting,Advanced,4,False,19.94,5,Actively_Encouraged,4,3.543,96.84,Medium
Humanities,Junior,2.267,12.15,Debugging/Troubleshooting,Intermediate,3,False,6.74,4,Allowed_With_Citation,4,2.546,62.88,High
STEM,Freshman,3.112,4.72,Summarizing_Reading,Beginner,3,False,12.24,3,Actively_Encouraged,5,3.484,73.65,Medium
STEM,Freshman,2.554,17.36,Debugging/Troubleshooting,Beginner,3,True,10.66,7,Actively_Encouraged,1,2.984,64.29,High
STEM,Junior,3.585,4.56,Debugging/Troubleshooting,Beginner,2,True,10.65,3,Actively_Encouraged,4,3.602,96.32,Low
STEM,Senior,3.448,22.06,Debugging/Troubleshooting,Beginner,2,True,8.71,6,Actively_Encouraged,3,3.664,69.24,High
Business,Senior,3.569,5.97,Debugging/Troubleshooting,Beginner,1,True,18.83,2,Allowed_With_Citation,1,4.0,84.86,Low
STEM,Senior,2.41,8.33,Summarizing_Reading,Advanced,4,False,3.66,5,Strict_Ban,5,2.548,65.96,Medium
STEM,Senior,3.327,7.45,Direct_Answer_Generation,Intermediate,4,False,8.21,1,Allowed_With_Citation,4,3.516,79.74,High
STEM,Junior,3.686,25.48,Debugging/Troubleshooting,Intermediate,1,True,5.05,7,Actively_Encouraged,5,3.925,86.54,Medium
STEM,Graduate,3.677,1.06,Debugging/Troubleshooting,Advanced,5,True,10.5,2,Strict_Ban,2,4.0,83.29,Medium
STEM,Junior,2.395,3.76,Debugging/Troubleshooting,Intermediate,2,False,20.38,1,Allowed_With_Citation,7,2.724,86.88,Low
Business,Freshman,3.048,0.07,Ideation,Intermediate,4,False,8.79,2,Allowed_With_Citation,7,3.182,74.25,Low
Medical,Sophomore,3.686,20.33,Debugging/Troubleshooting,Beginner,2,False,12.57,3,Allowed_With_Citation,3,4.0,64.29,Medium
Medical,Sophomore,3.644,13.85,Summarizing_Reading,Beginner,1,True,9.9,4,Actively_Encouraged,4,4.0,69.74,Medium
Medical,Sophomore,2.529,3.56,Copywriting/Drafting,Advanced,4,True,11.96,2,Actively_Encouraged,1,2.915,66.72,Low
STEM,Senior,2.781,32.31,Summarizing_Reading,Advanced,3,False,13.57,8,Allowed_With_Citation,10,3.19,89.06,High
STEM,Senior,3.786,10.11,Copywriting/Drafting,Beginner,3,True,13.73,5,Allowed_With_Citation,5,4.0,80.45,Medium
STEM,Sophomore,3.08,0.25,Debugging/Troubleshooting,Beginner,2,True,5.23,1,Actively_Encouraged,3,3.123,59.76,Low
Arts,Sophomore,3.092,4.42,Summarizing_Reading,Intermediate,2,False,6.29,4,Allowed_With_Citation,7,3.295,69.7,Medium
STEM,Junior,2.547,6.26,Ideation,Advanced,3,True,6.66,5,Actively_Encouraged,7,2.817,87.64,High
Business,Freshman,3.051,7.86,Ideation,Advanced,3,True,7.77,3,Allowed_With_Citation,6,3.45,99.79,Medium
STEM,Senior,3.676,23.17,Direct_Answer_Generation,Intermediate,2,False,17.12,7,Allowed_With_Citation,7,3.696,67.14,Medium
STEM,Freshman,3.375,34.06,Copywriting/Drafting,Advanced,3,False,1.32,7,Allowed_With_Citation,5,3.313,49.3,High
Medical,Graduate,2.306,22.39,Ideation,Beginner,1,False,10.73,6,Allowed_With_Citation,5,2.528,56.42,High
Arts,Sophomore,3.051,4.38,Debugging/Troubleshooting,Beginner,1,False,14.86,4,Actively_Encouraged,3,3.309,44.67,Medium
Arts,Sophomore,3.71,2.64,Copywriting/Drafting,Advanced,5,False,16.82,2,Strict_Ban,6,3.954,76.79,Medium
Business,Senior,2.938,7.01,Copywriting/Drafting,Advanced,3,False,11.79,2,Allowed_With_Citation,5,3.151,92.83,Low
Medical,Junior,3.279,0.66,Summarizing_Reading,Intermediate,1,True,19.7,2,Allowed_With_Citation,3,3.589,82.09,Low
Business,Freshman,2.713,4.88,Copywriting/Drafting,Beginner,1,False,1.59,3,Actively_Encouraged,2,2.567,63.07,Medium
Medical,Senior,3.357,5.76,Direct_Answer_Generation,Beginner,1,True,18.44,6,Allowed_With_Citation,1,3.958,88.98,Medium
STEM,Junior,2.754,7.39,Debugging/Troubleshooting,Advanced,3,True,8.54,4,Actively_Encouraged,5,3.185,87.54,Medium
Business,Freshman,3.235,6.79,Ideation,Beginner,2,False,7.84,2,Actively_Encouraged,2,3.528,80.04,Low
Business,Senior,3.369,1.39,Direct_Answer_Generation,Intermediate,4,False,10.36,4,Allowed_With_Citation,1,3.519,68.2,Medium
Humanities,Freshman,3.756,11.71,Copywriting/Drafting,Beginner,2,True,4.09,1,Allowed_With_Citation,1,3.889,73.25,Low
Medical,Graduate,3.494,6.34,Summarizing_Reading,Beginner,2,False,15.01,2,Allowed_With_Citation,5,3.823,74.85,Medium
Medical,Junior,3.468,1.21,Summarizing_Reading,Intermediate,1,False,6.09,1,Allowed_With_Citation,4,3.62,47.7,Medium
Humanities,Senior,2.291,8.61,Debugging/Troubleshooting,Advanced,4,False,12.81,2,Allowed_With_Citation,2,2.893,87.46,Low
Humanities,Junior,3.674,3.56,Summarizing_Reading,Advanced,3,False,6.02,2,Allowed_With_Citation,4,4.0,84.78,Low
Humanities,Freshman,3.497,7.89,Copywriting/Drafting,Intermediate,3,False,11.45,6,Allowed_With_Citation,6,3.546,77.01,Medium
Arts,Senior,2.619,0.98,Copywriting/Drafting,Intermediate,2,False,14.14,3,Allowed_With_Citation,2,3.043,77.8,High
Business,Sophomore,3.313,3.81,Ideation,Beginner,2,False,12.42,3,Allowed_With_Citation,2,3.282,80.24,Low
STEM,Senior,3.054,3.14,Summarizing_Reading,Intermediate,2,False,20.98,3,Strict_Ban,2,3.758,82.38,Low
Business,Sophomore,3.641,12.57,Ideation,Intermediate,3,True,16.13,6,Allowed_With_Citation,4,4.0,82.85,Low
STEM,Sophomore,3.335,7.12,Direct_Answer_Generation,Beginner,1,False,9.42,2,Allowed_With_Citation,1,3.297,77.59,Low
Arts,Junior,2.952,14.37,Ideation,Beginner,2,True,13.28,7,Strict_Ban,4,3.209,70.59,Medium
Humanities,Senior,2.871,5.62,Copywriting/Drafting,Intermediate,1,True,11.47,3,Allowed_With_Citation,1,3.436,80.65,Low
Humanities,Junior,3.702,8.64,Copywriting/Drafting,Beginner,2,True,9.21,2,Allowed_With_Citation,6,3.922,78.21,Medium
Arts,Freshman,2.252,2.69,Direct_Answer_Generation,Beginner,3,False,10.49,4,Strict_Ban,5,2.288,63.21,Low
STEM,Senior,2.782,6.69,Ideation,Beginner,1,True,17.07,5,Actively_Encouraged,3,3.314,85.54,Medium
STEM,Junior,3.544,2.68,Ideation,Intermediate,2,False,21.77,1,Allowed_With_Citation,2,3.721,75.33,Medium
Humanities,Junior,3.257,2.33,Summarizing_Reading,Beginner,3,True,12.79,1,Allowed_With_Citation,2,3.518,94.37,Medium
STEM,Sophomore,1.691,15.29,Summarizing_Reading,Intermediate,4,False,1.0,4,Actively_Encouraged,3,1.796,84.03,Medium
Humanities,Junior,3.75,13.11,Copywriting/Drafting,Intermediate,2,True,8.61,3,Strict_Ban,4,3.78,68.44,Medium
Medical,Sophomore,3.293,4.03,Summarizing_Reading,Intermediate,3,False,7.22,4,Allowed_With_Citation,5,3.162,66.09,Medium
Arts,Freshman,2.953,3.6,Copywriting/Drafting,Advanced,3,True,3.85,3,Allowed_With_Citation,7,3.064,81.53,Low
Medical,Senior,3.595,3.82,Debugging/Troubleshooting,Beginner,1,False,12.16,4,Allowed_With_Citation,4,3.761,69.7,Low
Medical,Senior,2.483,2.22,Summarizing_Reading,Beginner,2,True,10.0,3,Allowed_With_Citation,6,2.59,60.29,Low
Humanities,Senior,2.269,8.29,Debugging/Troubleshooting,Intermediate,3,False,11.54,3,Allowed_With_Citation,5,2.326,100.0,Medium
STEM,Freshman,3.752,3.08,Summarizing_Reading,Intermediate,2,False,8.51,3,Allowed_With_Citation,2,4.0,59.12,Low
STEM,Senior,3.527,6.72,Direct_Answer_Generation,Intermediate,1,True,15.71,2,Actively_Encouraged,8,3.839,98.34,High
Arts,Sophomore,3.426,7.85,Copywriting/Drafting,Intermediate,1,False,13.12,4,Allowed_With_Citation,3,3.796,77.19,Low
Business,Senior,3.177,1.28,Ideation,Beginner,2,False,2.37,2,Actively_Encouraged,3,2.963,76.37,Medium
STEM,Sophomore,3.524,30.11,Debugging/Troubleshooting,Beginner,2,False,13.33,8,Strict_Ban,6,3.68,69.57,Medium
Humanities,Freshman,3.479,10.17,Debugging/Troubleshooting,Intermediate,2,False,1.68,7,Allowed_With_Citation,7,3.537,65.14,Medium
Business,Graduate,2.404,11.31,Ideation,Beginner,2,False,7.95,4,Actively_Encouraged,5,2.755,74.82,Low
Business,Freshman,3.283,9.62,Ideation,Intermediate,2,False,20.13,2,Actively_Encouraged,4,3.886,64.44,High
Medical,Senior,3.017,0.91,Summarizing_Reading,Beginner,2,False,4.05,2,Allowed_With_Citation,3,2.981,85.9,Low
Humanities,Freshman,3.461,0.17,Copywriting/Drafting,Advanced,3,False,13.91,3,Allowed_With_Citation,3,3.636,71.37,Low
Medical,Senior,2.867,7.7,Direct_Answer_Generation,Advanced,3,False,2.58,5,Allowed_With_Citation,3,3.133,74.83,Medium
Humanities,Freshman,2.53,3.86,Summarizing_Reading,Intermediate,2,True,10.27,3,Allowed_With_Citation,5,2.788,66.39,Medium
Business,Junior,3.484,1.26,Ideation,Beginner,1,False,13.82,4,Strict_Ban,3,3.818,72.5,Medium
Medical,Freshman,3.257,8.36,Summarizing_Reading,Beginner,2,True,11.91,2,Allowed_With_Citation,4,3.634,64.19,Medium
Medical,Graduate,3.388,5.77,Summarizing_Reading,Advanced,3,False,18.49,2,Allowed_With_Citation,4,3.511,67.9,Medium
STEM,Sophomore,3.347,0.18,Debugging/Troubleshooting,Beginner,1,False,4.15,1,Allowed_With_Citation,1,3.36,69.09,Low
STEM,Freshman,2.501,1.72,Summarizing_Reading,Beginner,3,False,11.96,2,Actively_Encouraged,4,2.466,49.83,Low
Humanities,Junior,3.766,13.11,Direct_Answer_Generation,Intermediate,5,True,14.24,3,Strict_Ban,5,3.852,71.94,High
Humanities,Junior,2.262,4.02,Copywriting/Drafting,Advanced,5,True,17.1,3,Strict_Ban,4,2.541,85.52,Medium
Business,Graduate,2.142,2.83,Direct_Answer_Generation,Beginner,3,False,8.33,1,Strict_Ban,2,2.025,85.15,Medium
Medical,Junior,3.141,13.85,Ideation,Advanced,5,False,12.6,2,Actively_Encouraged,1,3.308,80.88,High
STEM,Sophomore,3.868,40.0,Ideation,Advanced,4,True,12.77,10,Actively_Encouraged,6,4.0,81.17,High
Humanities,Junior,2.761,8.11,Copywriting/Drafting,Beginner,1,False,6.99,2,Actively_Encouraged,2,3.017,67.28,Medium
STEM,Graduate,3.844,2.11,Ideation,Advanced,4,True,13.91,2,Actively_Encouraged,3,4.0,100.0,High
Medical,Junior,3.998,10.63,Summarizing_Reading,Advanced,4,False,17.4,6,Strict_Ban,7,4.0,100.0,Medium
Medical,Senior,2.372,1.09,Summarizing_Reading,Beginner,3,False,9.35,4,Allowed_With_Citation,5,2.655,57.05,Medium
Humanities,Senior,3.025,11.89,Copywriting/Drafting,Beginner,3,False,8.94,6,Allowed_With_Citation,6,3.22,92.84,Medium
STEM,Graduate,3.23,17.16,Debugging/Troubleshooting,Intermediate,3,True,19.59,5,Allowed_With_Citation,2,3.47,100.0,High
Arts,Senior,3.566,7.14,Summarizing_Reading,Beginner,1,False,13.82,2,Actively_Encouraged,5,3.625,74.15,High
Business,Graduate,3.021,3.84,Direct_Answer_Generation,Intermediate,1,True,16.44,1,Strict_Ban,4,3.307,75.31,Low
Humanities,Sophomore,3.185,2.17,Copywriting/Drafting,Advanced,5,False,12.25,4,Actively_Encouraged,6,3.33,83.4,Low
Medical,Freshman,2.85,19.79,Direct_Answer_Generation,Advanced,5,True,7.87,5,Actively_Encouraged,5,2.628,64.66,High
Medical,Freshman,3.424,11.17,Summarizing_Reading,Beginner,2,True,8.55,6,Strict_Ban,10,3.375,77.1,Medium
Business,Graduate,2.212,0.0,Direct_Answer_Generation,Intermediate,2,True,12.8,1,Strict_Ban,4,2.377,65.85,High
Business,Senior,2.898,4.16,Ideation,Advanced,3,True,11.97,1,Strict_Ban,1,2.983,72.58,Medium
STEM,Senior,3.559,8.27,Direct_Answer_Generation,Intermediate,5,True,15.85,5,Allowed_With_Citation,5,4.0,78.76,High
Business,Freshman,3.225,3.37,Ideation,Intermediate,1,False,10.94,2,Actively_Encouraged,4,3.574,69.36,Medium
Humanities,Sophomore,3.513,4.67,Copywriting/Drafting,Advanced,3,True,15.8,2,Allowed_With_Citation,3,4.0,85.36,Low
Humanities,Senior,2.905,21.08,Copywriting/Drafting,Intermediate,4,True,7.06,5,Strict_Ban,10,3.121,58.62,High
STEM,Sophomore,3.25,12.52,Summarizing_Reading,Intermediate,2,True,9.76,5,Strict_Ban,6,3.196,77.32,High
